======================================================================
  bq · k analysis (per-head)  —  300 sentences, 12 layers, 12 heads, 40 positions
======================================================================

 Layer    pos0 p10    pos0 p50    pos0 p90   other p90 max  pos0_p10 > other_p90
     1      9.7652     16.2639     55.2037         33.0834                    no
     2      2.5398     16.2146     30.8142         22.8880                    no
     3     11.2801     40.2938     67.3202         41.3985                    no
     4     25.2140     50.5024     91.1919         29.4913                    no
     5     17.1184     38.2684     62.9083         20.2277                    no
     6      5.6449     17.7579     23.2277          8.6853                    no
     7     11.1521     22.5356     37.3813         13.4012                    no
     8     13.5780     26.3035     40.2251         15.8692                    no
     9     15.9952     22.2114     37.9145         14.3649                   YES
    10     14.5095     24.9926     35.0153         13.3608                   YES
    11     18.1812     26.2388     35.4180         15.5597                   YES
    12      5.6719     18.5610     22.2911         11.2073                    no

Position 0's p10 exceeds all other positions' p90 in 3/12 layers.

