dataset,intervention,description,n_examples,mean_bos_attention,stderr,display
sst2,int_a,Baseline,100,0.598815,0.002928,0.5988 ± 0.0029
sst2,int_b,No Query Bias,100,0.271680,0.002685,0.2717 ± 0.0027
sst2,int_c,Remove First PE,100,0.014420,0.000782,0.0144 ± 0.0008
sst2,int_d,Swap EPE,100,0.037324,0.001224,0.0373 ± 0.0012
sst2,int_e,Swap PE,100,0.581456,0.006773,0.5815 ± 0.0068
sst2,int_f,Nullify BOS Token,100,0.596156,0.002914,0.5962 ± 0.0029
sst2,int_g,No MLP,100,0.255337,0.007798,0.2553 ± 0.0078
sst2,int_h,No PE,100,0.088733,0.014791,0.0887 ± 0.0148
sst2,int_i,Zero Top-3 Wk,100,0.394746,0.003001,0.3947 ± 0.0030
sst2,int_j,Zero Random Wk,100,0.599384,0.002910,0.5994 ± 0.0029
gsm8k,int_a,Baseline,100,0.551644,0.002674,0.5516 ± 0.0027
gsm8k,int_b,No Query Bias,100,0.238725,0.002295,0.2387 ± 0.0023
gsm8k,int_c,Remove First PE,100,0.013387,0.000864,0.0134 ± 0.0009
gsm8k,int_d,Swap EPE,100,0.040705,0.002114,0.0407 ± 0.0021
gsm8k,int_e,Swap PE,100,0.550504,0.003096,0.5505 ± 0.0031
gsm8k,int_f,Nullify BOS Token,100,0.552250,0.002772,0.5522 ± 0.0028
gsm8k,int_g,No MLP,100,0.284445,0.009307,0.2844 ± 0.0093
gsm8k,int_h,No PE,100,0.124613,0.014726,0.1246 ± 0.0147
gsm8k,int_i,Zero Top-3 Wk,100,0.365128,0.002380,0.3651 ± 0.0024
gsm8k,int_j,Zero Random Wk,100,0.551773,0.002677,0.5518 ± 0.0027
humaneval,int_a,Baseline,100,0.538558,0.001962,0.5386 ± 0.0020
humaneval,int_b,No Query Bias,100,0.243925,0.002257,0.2439 ± 0.0023
humaneval,int_c,Remove First PE,100,0.022715,0.001090,0.0227 ± 0.0011
humaneval,int_d,Swap EPE,100,0.027535,0.000297,0.0275 ± 0.0003
humaneval,int_e,Swap PE,100,0.539992,0.002007,0.5400 ± 0.0020
humaneval,int_f,Nullify BOS Token,100,0.535719,0.001982,0.5357 ± 0.0020
humaneval,int_g,No MLP,100,0.309943,0.005907,0.3099 ± 0.0059
humaneval,int_h,No PE,100,0.082881,0.006342,0.0829 ± 0.0063
humaneval,int_i,Zero Top-3 Wk,100,0.341675,0.001454,0.3417 ± 0.0015
humaneval,int_j,Zero Random Wk,100,0.538730,0.001954,0.5387 ± 0.0020
