dataset,intervention,description,n_examples,mean_bos_attention,stderr,display
all_datasets,int_a,Baseline,300,0.563006,0.002098,0.5630 ± 0.0021
all_datasets,int_b,No Query Bias,300,0.251443,0.001624,0.2514 ± 0.0016
all_datasets,int_c,Remove First PE,300,0.016841,0.000583,0.0168 ± 0.0006
all_datasets,int_d,Swap EPE,300,0.035188,0.000879,0.0352 ± 0.0009
all_datasets,int_e,Swap PE,300,0.557317,0.002757,0.5573 ± 0.0028
all_datasets,int_f,Nullify BOS Token,300,0.561375,0.002096,0.5614 ± 0.0021
all_datasets,int_g,No MLP,300,0.283242,0.004668,0.2832 ± 0.0047
all_datasets,int_h,No PE,300,0.098742,0.007325,0.0987 ± 0.0073
all_datasets,int_i,Zero Top-3 Wk,300,0.367183,0.001852,0.3672 ± 0.0019
all_datasets,int_j,Zero Random Wk,300,0.563296,0.002102,0.5633 ± 0.0021
